address,symbol,decimals,address_quipuswap,kind,thumbnail_uri,active,name,description,homepage
KT1UYd3dEhE4kXPjr39GwhgDgaWawTV7HpDR_0,HERO,8,KT1HuvTLksDHUZYs12MZUbhHHR1SUdMA1NuS,FA2,https://ipfs.io/ipfs/QmcLA9VXRghnhFbfZjJvVE6EtBKehVjQvMVRdp6v9cYmpq,t,TezosHero,,
KT1T1PeeRDbsKDYM2nX8JjJ1kkAhHh5FnjgC_0,BDVXP,6,KT1C755xS3TLH4HEWaCJvWuoHTcytTBdEjgS,FA2,https://gateway.pinata.cloud/ipfs/QmVbkmsnie44NUMFzhamLcDKTFAzVbPafYGLna65KfKCHK,t,BohnerDyldoh VX Pro,Streamline your workflow with Bohner DyldohVX Pro. BDVXP was developed with g-wave alpha transports on the Tezos blockchain to suit a range of purposes.,
KT1LRboPna9yQY9BrjtQYDS1DVxhKESK4VVd_0,WRAP,8,KT1FG63hhFtMEEEtmBSX2vuFmP87t9E7Ab4t,FA2,https://ipfs.io/ipfs/Qma2o69VRZe8aPsuCUN1VRUE5k67vw2mFDXb35uDkqn17o,t,Wrap Governance Token,,
KT1GGxCNiJ7yaBAH4hAw5AHXbP3PSmAiy3wK_0,Tacoz,18,KT1VfiExduEkrpM4TbsnAw9QV1VURqaRFGKs,FA2,https://tacoz.cash/images/logo_small.png,t,Tacoz,Tacoz - Tezos first meme coin.,
KT1E6C7WkwG8GWnPBBJJDMADrYuuYaK7ddmM_0,FKB,6,KT1UyqBg82dWGBCyFbRD8J96Ud6diYLkt8Ca,FA2,https://ipfs.io/ipfs/QmZbexkH5MYPc3UMpwkeKt18enUzbKGDCsmZonBdFjkM5T,t,FuckBoy,For all my real FuckBoys,
KT19mgJ3sCytBWXzZ1xgkZ7UMZS4HPKyGNo7_0,MEL,6,KT1BsDKTXBiYck85fJnoDzedyKKNtMuC9B9h,FA2,https://img.favpng.com/23/24/22/cantaloupe-juice-hami-melon-charentais-melon-png-favpng-pNbCBd1GXZuFBu4S5ddaL5E9b.jpg,t,Melon,Usual melon,
KT1EpihM8tQSBwqYB6NtCT8N67pq8rKwoD93_0,T42,0,KT1M5H8qkJEzhdC3ZxZ78bSxgmcddrcusbry,FA2,https://i.postimg.cc/MpKJW5pX/Icon.png,t,Token 42,The World is The Biggest Mystery,
KT18fp5rcTW7mbWDmzFwjLDUhs5MeJmagDSZ_20,wWETH,18,KT1DuYujxrmgepwSDHtADthhKBje9BosUs1w,FA2,https://ipfs.io/ipfs/Qmezz1ztvo5JFshHupBEdUzVppyMfJH6K4kPjQRSZp8cLq,t,Wrapped WETH,,
KT1XRxmUFNcbzGTwQPvNPa5FuuM43uEunp8K_0,TZS,0,KT1A834QfnWremTQ4tc63s8NKbHzLJVszgxc,FA2,https://ibb.co/zQLbthQ,t,Tezos Spanish,,
KT1EMarewvdmyV42FDgGuhUhTKxrjutQWEBA_0,BDoge,4,KT1Th57AbgJmiZWDny6Ewqd2sx5qSxJwu8ry,FA2,https://i.imgur.com/FPoMO8F.png,t,BULLDoge,404 MEME NOT FOUND!,
KT1AFA2mwNUMNd4SsujE1YYp29vd8BZejyKW_0,hDAO,6,KT1QxLqukyfohPV5kPkw97Rs6cw1DDDvYgbB,FA2,https://ipfs.io/ipfs/QmPfBrZiRsC39S2VvNbhuxH9HnNcSx8aef9uBCG51J5c4e,t,hDAO,Hic et nunc DAO FA2 Token,
KT1LVnyY5cSCVpFMGXzqVsWNiSkJYA8w1rZk_0,tCow,2,KT1XQZxsG4pMgcN7q7Nu3XFihsb9mEvqBmAT,FA2,https://cloudflare-ipfs.com/ipfs/QmcRQKxJvnrzmKMH7y7ftkSraKB1rfXqeX4Etz6ve5r278,t,tCow,The Tezos Cow for all your needs.,
KT1GUNKmkrgtMQjJp3XxcmCj6HZBhkUmMbge_0,bDAO,6,KT1DssMzoSr8fnUUq1WxeSuHfLG4gzS7pgge,FA2,https://ipfs.io/ipfs/QmVMyqkFKAeyfGBeR81h72ugqj4UM8hjqA7KaKcnc35Vtt,t,Bazaar DAO ,bDAO is the official governance token for Bazaar Community,
KT19ovJhcsUn4YU8Q5L3BGovKSixfbWcecEA_0,RSAL,0,KT1WDe2vJCDqz5euKupppQsioPcakUd45Tfo,FA2,https://ipfs.io/ipfs/QmV7t21TwpmjRNWoXiqKhudVfZ8gYBDZksmzgDUHGpwz2z,t,Red Salsa,,
KT1XQZxsG4pMgcN7q7Nu3XFihsb9mEvqBmAT_0,tCowLP,0,KT1UEfXGj5Ag73qCdZTk2534SZDT7cd7J8m8,FA2,,t,,,
KT1AEfeckNbdEYwaMKkytBwPJPycz7jdSGea,STKR,18,KT1BMEEPX7MWzwwadW3NCSZe9XGmFJ7rs7Dr,FA1.2,,t,STKR,STKR is the community-owned token used to govern StakerDAO,
KT1Nbc9cmx19qFrYYFpkiDoojVYL8UZJYVcj_0,GUTS,0,KT1GaR1CmFoTTjqRwYSE8WdpBuxuviKGbcqs,FA2,https://cloudflare-ipfs.com/ipfs/Qmd5PwBHVLAUN1kRWAebDVjrMogJ9oUnNn8sowwTC7HgEv,t,Guts Gaming,"This is the core token of the Guts Gaming ecosystem. Each game has different use cases for the token. For example, GUTS holders may gain stat bonuses on their character, use GUTS to purchase limited items and equipment, etc. Do you have the GUTS?",
KT1M2JnD1wsg7w2B4UXJXtKQPuDUpU2L7cJH_79,tezos10x,0,KT1A4Sj8TBg4pazMkj226bAAcH6A4iCNQno4,FA2,https://ipfs.io/ipfs/Qmd6cte1kXCoQ7oXyRbLRiWxszdeYqkosfH4snkaKrd6oL,t,Tezos10x,"10x the Tezos, with 10x less supply.",
KT19ovJhcsUn4YU8Q5L3BGovKSixfbWcecEA_1,sDAO,0,KT1PrRTVNgxkRgyqqNQvwTiVhd55dqyxXJ6n,FA2,https://ipfs.io/ipfs/QmPJ7dMS3T6McqPjjBioKhHqtEUEBhAXpcRf3aicaLNPtV,t,Salsa DAO,,
KT19oivKN2qzeWgCs886BbttSVYtkcJHRtuQ_0,SHTz,2,KT1G7Z14RJLKbfu96Hc22bwNL67aykunAGyH,FA2,https://ibb.co/km908CD,t,Shitz,,
KT1REEb5VxWRjcHm5GzDMwErMmNFftsE5Gpf_0,sUSD,6,KT1KFszq8UFCcWxnXuhZPUyHT9FK3gjmSKm6,FA2,,t,Stably USD,,
KT19at7rQUvyjxnZ2fBv7D9zc8rkyG7gAoU8,ETHtz,18,KT1Evsp2yA19Whm24khvFPcwimK6UaAJu8Zo,FA1.2,,t,ETHtez,,
KT1K9gCRgaLRFKTErYt1wVxA3Frb9FjasjTV,kUSD,18,KT1K4EwTpbvYN9agJdjpyJm4ZZdhpUNKB3F6,FA1.2,https://kolibri-data.s3.amazonaws.com/logo.png,t,Kolibri USD,Kolibri is an algorithmic stablecoin built on the Tezos blockchain by Hover Labs.,
KT18fp5rcTW7mbWDmzFwjLDUhs5MeJmagDSZ_17,wUSDC,6,KT1U2hs5eNdeCpHouAvQXGMzGFGJowbhjqmo,FA2,https://ipfs.io/ipfs/QmQfHU9mYLRDU4yh2ihm3zrvVFxDrLPiXNYtMovUQE2S2t,t,Wrapped USDC,,
KT18fp5rcTW7mbWDmzFwjLDUhs5MeJmagDSZ_11,wMATIC,18,KT1RsfuBee5o7GtYrdB7bzQ1M6oVgyBnxY4S,FA2,https://ipfs.io/ipfs/QmchBnjRjpweznHes7bVKHwgzd8D6Q7Yzwf6KmA4KS6Dgi,t,Wrapped MATIC,,
KT1TsUFkH4pa48wmrGRmFpFW13nxHbP4xEKN_0,TTT,8,KT1WYoYSdHNmNJf9pHWPoHJWDA3bid1NP9SJ,FA2,,t,Taco truck token,Fresh baked tacos to your wallet,
KT1TtaMcoSx5cZrvaVBWsFoeZ1L15cxo5AEy_0,SOIL,4,KT1NXdxJkCiPkhwPvaT9CytFowuUoNcwGM1p,FA2,https://i.ibb.co/4ML6VkV/kisspng-humus-portable-network-graphics-soil-clip-art-houm-5c4429fd079dc0-6393132415479710690312.jpg,t,Soil,Need $SOIL to grow your $FARM,
KT1T3Ly4RkMehwNpC4iWr86EV5D155bTRvce_0,BART,9,KT1WJVYEjLRirPQDSWqfggjqFGn14y9hiCBL,FA2,https://i2.wp.com/bullishart.com/wp-content/uploads/2021/02/logo.jpg,t,BullishArt Token,BART is the token of BullishArt.com,
KT1BCzAq3PrTKPsEBKuoTGZdwX6rN6WE8rJj_0,CVZA,8,KT1F3BqwEAoa2koYX4Hz7zJ8xfGSxxAGVT8t,FA2,https://i.ibb.co/KyQJRDt/output-onlineimagetools.png,t,Cerveza,Beer token,
KT18fp5rcTW7mbWDmzFwjLDUhs5MeJmagDSZ_5,wDAI,18,KT1PQ8TMzGMfViRq4tCMFKD2QF5zwJnY67Xn,FA2,https://ipfs.io/ipfs/QmVov6RtfRNzuQGvGKmhnABUsfCiDKvn31amg8DUxzowtM,t,Wrapped DAI,,
KT1Cjx8hYwzaCAke6rLWoZBLp8w89VeAduAR_0,tDAO,4,KT1X6dAh8fwQMkWC9yh4yuvkJaS5NjqY4NvW,FA2,https://www.cryptoliveleak.org/wp-content/uploads/2021/04/Taco-bold.png,t,Taco DAO,Governance Token for the Tezonians NFT Collection.,
KT1Wa8yqRBpFCusJWgcQyjhRz7hUQAmFxW7j_0,FLAME,6,KT1Q93ftAUzvfMGPwC78nX8eouL1VzmHPd4d,FA2,https://spacefarm.xyz/images/flamelogo.png,t,FLAME,,
KT1UHNDNjrCAAiRbzZrtQF9qHSHVMYeJyX1y_0,BRR,6,KT1PmH3JCEo65koqSGGUArKSpbKMN8dJ3BPZ,FA2,,t,FundMe,The use case of this token is to fund me. I will dump on you constantly. Feel free to ape in and trade it anyway.,
KT1VHd7ysjnvxEzwtjBAmYAmasvVCfPpSkiG_0,GSAL,0,KT1BzNUUjURkTtNhXFkbGtu9fY3Q5scKZrvK,FA2,https://ipfs.io/ipfs/QmeG8pd8PYRyPkCiL3nj4ghauuiYy13531vJYUfvNzyLX9,t,Green Salsa,,
